id,Nombre,Eslogan,Nombre corto,slug,Color principal,Color secundario,Instagram,Facebook,Dirección,Latitud,Longitud
31,11 de Febrero,,,11-de-febrero,,,,,,,
30,1° de Mayo,,,1-de-mayo,,,,,,,
39,8 de Mayo,,,8-de-mayo,,,,,,,
24,9 de Julio,,,9-de-julio,,,,,,,
25,Atletico Grand Bourg,,,atletico-gb,,,,,,,
57,Balón en Juego,,Balon en Juego,balon-en-juego,,,,,,,
15,Basualdo,,Basualdo,basualdo,,,,,,,
1,Club Social y Deportivo Soler,La banda de Soler ya llego...,CSD Soler,csdsoler,#B50000,#008A27,,https://facebook.com/csdsoler,"Daguerre 979, Pablo Nogues",-34.47914490,-58.69943090
47,Dep. Barrio Olivos,,,dep-barrio-olivos,,,,,,,
48,Dep. Nogues,,,dep-nogues,,,,,,,
40,Dep. Polvorines,,,dep-polvorines,,,,,,,
41,Dep. Wilson,,,dep-wilson,,,,,,,
6,Deportivo Baby Olivos,,Baby Olivos,baby-olivos,#8EACDE,#FFFFFF,,,O'Brien 3650,-34.48147000,-58.70050820
32,Deportivo GB,,,deportivo-gb,,,,,,,
7,Deportivo Malvinense,,Malvinense,malvinense,#00B2F2,#FFFFFF,,,"Av. Olivos 3025, Grand Bourg",-34.46215800,-58.71549910
8,Deportivo Villa de Mayo,,Deportivo VM,deportivo-vm,,,,,,,
33,EFIMA,,,efima,,,,,,,
46,El Barca FC,,,el-barca-fc,,,,,,,
49,El Lucero,,,el-lucero,,,,,,,
58,El Nuevo Prima,,ENP,el-nuevo-prima,,,,,,,
42,El Ombu,,,el-ombu,,,,,,,
9,El Tanke FC,,El Tanke,el-tanke,,,,,,,
26,El Triángulo,,,el-triangulo,,,,,,,
27,Estudiantes GB,,,estudiantes-gb,,,,,,,
10,FC Textil,,Textil,fc-textil,,,,,,,
5,Fatima,,Fatima,fatima,#111677,#FFFFFF,,,"Velazques 2932, Polvorines",-34.51871720,-58.71256450
16,Guadalupe JR,,Guadalupe,guadalupe-jr,,,,,,,
43,Huracanes de VDM,,,huracanes-de-vdm,,,,,,,
11,Ing. Pablo Nogues,,Ing. Pablo Nogues,ing-pablo-nogues,,,,,,,
12,Iparraguirre FC,,Iparraguirre FC,iparraguirre-fc,,,,,,,
59,Juventud Unida,,JU,juventud-unida,,,,,,,
44,KM 30,,,km-30,,,,,,,
17,La Gloriosa,,La Gloriosa,la-gloriosa,,,,,,,
2,La Quinta,,La Quinta,la-quinta,#0100CC,#00CC43,,,"Mariote 1100, Pablo Nogues",-34.47769490,-58.70533200
51,La Roma,,LR,la-roma,,,,,,,
18,La Tensa,,La Tensa,la-tensa,,,,,,,
19,La Virgen,,La Virgen,la-virgen,,,,,,,
50,Los Angeles,,,los-angeles,,,,,,,
54,Los Pibes del BF,,LPBF,los-pibes-del-bf,,,,,,,
45,Lucero de Alvear,,,lucero-de-alvear,,,,,,,
34,Magdalena,,,magdalena,,,,,,,
52,Malvinas FC,,MFC,malvinas-fc,,,,,,,
35,Mariano Moreno,,,mariano-moreno,,,,,,,
4,Mundialito,El mas grande de Pablo Nogues,Mundialito,mundialito,#6B0290,#000000,,,Padre Stoppler 4101,-34.47649370,-58.69724860
55,Patronato de Tort.,,PDT,patronato-de-tort,,,,,,,
60,Poli. 25 de Mayo,,25M,poli-25-de-mayo,,,,,,,
36,Real Polvorines,,,real-polvorines,,,,,,,
37,SF 25 de Mayo,,,sf-25-de-mayo,,,,,,,
29,SF Iparraguirre,,,sf-iparraguirre,,,,,,,
56,SF La Sala,,SFLS,sf-la-sala,,,,,,,
38,SF San Martin,,,sf-san-martin,,,,,,,
13,San Antonio,,San Antonio,san-antonio,,,,,,,
53,San Calal,,SC,san-calal,,,,,,,
28,San Lucas,,,san-lucas,,,,,,,
20,San Pascual,San Pascual,,s-pascual,,,,,,,
14,Santa Mónica,,Santa Monica,santa-monica,,,,,,,
21,Sociedad de Fomento Los Olivos,,SF Los Olivos,sf-los-olivos,,,,,,,
3,Torino,,Torino,torino,#025EA9,#FFFFFF,,,H.Bouchard 4990,-34.47079560,-58.69077380
22,Unión Vecinal Villa de Mayo,,UV Villa de Mayo,uv-villademayo,,,,,,,
23,Villa Palmira,,Villa Palmira,villa-palmira,,,,,,,
